Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748923529,100,,Aggregated,39.600000,28.800000,10,24,34,43,75,110,160,200,360,540,630,14713,10223,10,28.16497951961331,1.4262609993238584,628.9181410002129,1607.5839733568953
1748923530,100,,Aggregated,39.900000,28.600000,10,24,34,43,75,110,160,200,360,540,630,14756,10260,10,28.11794515384022,1.4262609993238584,628.9181410002129,1606.6462455950123
1748923531,100,,Aggregated,39.900000,28.600000,10,24,34,43,75,110,160,200,360,540,630,14793,10285,10,28.163101413578524,1.4262609993238584,628.9181410002129,1605.5589129993916
1748923532,100,,Aggregated,40.100000,28.600000,10,24,34,43,75,110,160,200,360,540,630,14824,10308,10,28.14030250378192,1.4262609993238584,628.9181410002129,1606.4169589854291
1748923533,100,,Aggregated,39.600000,28.300000,10,24,34,43,75,110,160,200,360,540,630,14868,10344,10,28.10715157371954,1.4262609993238584,628.9181410002129,1604.2953322571966
1748923534,100,,Aggregated,39.000000,27.900000,10,24,34,42,75,110,160,200,360,540,630,14901,10370,10,28.08440896161746,1.4262609993238584,628.9181410002129,1604.1942822629353
1748923535,100,,Aggregated,38.000000,28.000000,10,24,34,42,75,110,160,200,360,540,630,14942,10401,10,28.05807708827875,1.4262609993238584,628.9181410002129,1603.1791594164101
1748923536,100,,Aggregated,37.300000,27.200000,10,24,34,42,75,110,160,200,360,540,630,14980,10430,10,28.032584934049293,1.4262609993238584,628.9181410002129,1601.9571428571428
1748923537,100,,Aggregated,37.800000,27.700000,10,24,34,42,75,110,160,200,350,540,630,15016,10452,10,28.038536996208197,1.4262609993238584,628.9181410002129,1601.9269445924347
1748923538,100,,Aggregated,38.200000,28.100000,10,24,34,42,75,110,160,200,350,540,630,15062,10483,10,28.051690263847235,1.4262609993238584,628.9181410002129,1602.702429956181
1748923539,100,,Aggregated,38.000000,27.900000,10,24,34,42,75,110,160,200,350,540,630,15098,10504,10,28.04978932527933,1.4262609993238584,628.9181410002129,1601.3730957742748
1748923540,100,,Aggregated,37.800000,28.000000,10,24,34,42,75,110,160,200,350,540,630,15139,10533,10,28.071192094859008,1.4262609993238584,628.9181410002129,1603.0256952242553
1748923541,100,,Aggregated,38.500000,28.100000,10,24,34,43,75,110,160,200,350,540,630,15176,10554,10,28.107471177653498,1.4262609993238584,628.9181410002129,1606.2262783342119
1748923542,100,,Aggregated,38.300000,27.400000,10,24,34,43,75,110,160,200,350,540,630,15211,10580,10,28.083521937221047,1.4262609993238584,628.9181410002129,1604.6438104003682
1748923543,100,,Aggregated,38.400000,27.000000,10,24,34,43,75,110,160,200,350,540,630,15255,10605,10,28.188265338057395,1.4262609993238584,628.9181410002129,1603.8586692887577
1748923544,100,,Aggregated,38.300000,26.900000,10,24,34,43,75,110,160,200,350,540,630,15292,10634,10,28.20702546541096,1.4262609993238584,628.9181410002129,1603.937222076903
1748923545,100,,Aggregated,38.900000,26.900000,10,24,34,43,75,110,160,200,350,540,630,15328,10662,10,28.193381941418746,1.4262609993238584,628.9181410002129,1604.5909446764092
1748923546,100,,Aggregated,38.500000,25.700000,10,24,34,43,75,110,160,200,350,540,630,15364,10690,10,28.150652655237305,1.4262609993238584,628.9181410002129,1603.8890913824525
1748923547,100,,Aggregated,38.000000,25.600000,10,24,34,43,75,110,160,200,350,540,630,15405,10713,10,28.204613155343644,1.4262609993238584,628.9181410002129,1606.1749432002596
1748923548,100,,Aggregated,38.100000,26.000000,10,24,34,43,75,110,160,200,350,540,630,15444,10742,10,28.2054062861994,1.4262609993238584,628.9181410002129,1605.993524993525
1748923549,100,,Aggregated,38.600000,25.900000,10,24,34,43,75,110,160,200,350,540,630,15475,10763,10,28.191907570214155,1.4262609993238584,628.9181410002129,1608.1694991922457
1748923550,100,,Aggregated,38.400000,25.700000,10,24,34,43,75,110,160,200,350,540,630,15512,10787,10,28.180189086840215,1.4262609993238584,628.9181410002129,1608.9646080453842
1748923551,100,,Aggregated,37.300000,25.400000,10,24,34,43,75,110,160,200,350,540,630,15552,10816,10,28.174545028103392,1.4262609993238584,628.9181410002129,1607.6979809670781
1748923552,100,,Aggregated,37.100000,25.200000,10,24,34,43,75,110,160,200,350,540,630,15578,10835,10,28.187977853643698,1.4262609993238584,628.9181410002129,1608.740724098087
1748923553,100,,Aggregated,37.000000,25.700000,10,24,34,43,76,110,160,200,350,540,630,15627,10869,10,28.269300474631354,1.4262609993238584,628.9181410002129,1607.7842836116977
1748923554,100,,Aggregated,37.300000,26.000000,10,24,34,43,76,110,170,200,350,540,630,15661,10887,10,28.331837428073772,1.4262609993238584,628.9181410002129,1611.023944831109
1748923555,100,,Aggregated,36.100000,25.200000,10,24,34,43,76,110,170,200,350,540,630,15703,10918,10,28.323573933774764,1.4262609993238584,628.9181410002129,1612.681716869388
1748923556,100,,Aggregated,36.900000,26.000000,10,24,34,43,75,110,170,200,350,540,630,15744,10954,10,28.283782426134685,1.4262609993238584,628.9181410002129,1609.901486280488
1748923557,100,,Aggregated,37.500000,25.600000,10,24,34,43,76,110,170,200,350,540,630,15792,10987,10,28.36339459017636,1.4262609993238584,628.9181410002129,1608.7624746707193
1748923558,100,,Aggregated,37.500000,25.700000,10,24,34,43,76,110,170,200,350,540,630,15824,11009,10,28.387291573500054,1.4262609993238584,628.9181410002129,1611.6133088978765
1748923559,100,,Aggregated,38.000000,27.000000,10,24,34,43,76,110,170,200,350,540,630,15867,11040,10,28.43083961915065,1.4262609993238584,628.9181410002129,1608.7824415453456
1748923560,100,,Aggregated,38.200000,27.200000,10,24,34,43,76,110,170,200,350,540,630,15896,11062,10,28.419672454143328,1.4262609993238584,628.9181410002129,1609.9353296426775
1748923561,100,,Aggregated,38.900000,27.600000,10,24,34,43,76,110,170,200,350,540,630,15945,11096,10,28.40943415879976,1.4262609993238584,628.9181410002129,1608.1817497648165
1748923562,100,,Aggregated,39.000000,27.900000,10,24,34,43,76,110,170,200,350,540,630,15979,11125,10,28.379294242759933,1.4262609993238584,628.9181410002129,1607.5501595844546
1748923563,100,,Aggregated,38.700000,27.600000,10,24,34,43,76,110,170,200,350,540,630,16016,11151,10,28.36802730039093,1.4262609993238584,628.9181410002129,1607.841471028971
1748923564,100,,Aggregated,39.000000,28.000000,10,24,34,43,76,110,170,200,350,540,630,16057,11185,10,28.334830468708947,1.4262609993238584,628.9181410002129,1605.522949492433
1748923565,100,,Aggregated,39.800000,28.800000,10,24,34,43,75,110,170,200,350,540,630,16105,11222,10,28.309614965169665,1.4262609993238584,628.9181410002129,1603.245141260478
1748923566,100,,Aggregated,39.500000,29.400000,10,24,34,43,76,110,170,200,350,540,630,16145,11251,10,28.34186154023279,1.4262609993238584,628.9181410002129,1602.109135955404
1748923567,100,,Aggregated,39.400000,29.700000,10,24,34,43,76,110,170,200,350,540,630,16187,11278,10,28.361172487679053,1.4262609993238584,628.9181410002129,1601.7635139309323
1748923568,100,,Aggregated,40.000000,30.200000,10,24,34,43,76,110,170,200,350,540,630,16235,11313,10,28.35899020456168,1.4262609993238584,628.9181410002129,1601.1096396673852
1748923569,100,,Aggregated,39.800000,29.400000,10,24,34,43,76,110,170,200,350,540,630,16270,11336,10,28.3377561277234,1.4262609993238584,628.9181410002129,1601.760417947142
1748923570,100,,Aggregated,40.100000,29.600000,10,24,34,43,76,110,170,200,350,540,630,16306,11364,10,28.318026993503082,1.4262609993238584,628.9181410002129,1602.190604685392
1748923571,100,,Aggregated,40.400000,29.800000,10,24,34,43,76,110,170,200,350,540,630,16337,11389,10,28.29866708092431,1.4262609993238584,628.9181410002129,1603.5046214115198
1748923572,100,,Aggregated,39.800000,29.300000,10,24,34,43,76,110,170,200,350,540,630,16383,11422,10,28.349185683028985,1.4262609993238584,628.9181410002129,1602.5708966611733
1748923573,100,,Aggregated,40.100000,29.700000,10,24,34,43,76,110,170,200,350,540,630,16417,11449,10,28.318219899437636,1.4262609993238584,628.9181410002129,1600.9712493147347
1748923574,100,,Aggregated,40.300000,29.800000,10,24,34,43,76,110,170,200,350,540,630,16448,11469,10,28.349930011373143,1.4262609993238584,628.9181410002129,1601.9917315175098
